Species,PercOfChecklists,Count
Yellow Warbler (Northern),0.49,8
Chestnut-sided Warbler,2.45,40
Blackpoll Warbler,1.96,18
Black-throated Blue Warbler,0.82,6
Palm Warbler,6.85,294
Palm Warbler (Western),0.49,11
Pine Warbler,0.16,1
Yellow-rumped Warbler,11.75,311
Yellow-rumped Warbler (Myrtle),0.65,75
Yellow-throated Warbler,0.65,4
Prairie Warbler,0.33,2
Black-throated Gray Warbler,0.16,1
Black-throated Green Warbler,1.79,17
Canada Warbler,1.63,16
Wilson's Warbler,3.26,40
new world warbler sp.,2.28,47
Summer Tanager,0.16,1
Scarlet Tanager,0.65,5
Northern Cardinal,28.06,391
Rose-breasted Grosbeak,1.79,15
Blue Grosbeak,0.33,2
Indigo Bunting,4.73,70
Dickcissel,1.63,122
passerine sp.,1.47,170
bird sp.,0.16,9
